folder,song,env,selected,std,uniq,v_min,voicing,density,n,have_base,have_vel_aware
fantaisieimpromptu,FantaisieImpromptu,RoboPianist-repertoire-150-FantaisieImpromptu-v0,yes,18.8,8,45,3.23,13.92,555,,
peergyntop46no2,PeerGyntOp46No2,RoboPianist-repertoire-150-PeerGyntOp46No2-v0,yes,18.49,58,40,5.09,7.87,240,,
romaniandanceno1,RomanianDanceNo1,RoboPianist-repertoire-150-RomanianDanceNo1-v0,yes,18.4,59,36,6.02,7.8,248,,
reverie,Reverie,RoboPianist-repertoire-150-Reverie-v0,yes,18.26,3,36,0.0,4.58,182,yes,yes
fantasiestuckeop12no7,FantasieStuckeOp12No7,RoboPianist-repertoire-150-FantasieStuckeOp12No7-v0,yes,17.78,49,41,2.85,20.19,510,,
kreislerianaop16no3,KreislerianaOp16No3,RoboPianist-repertoire-150-KreislerianaOp16No3-v0,yes,17.76,4,65,4.03,11.26,352,,
grandevalsebrillanteop18,GrandeValseBrillanteOp18,RoboPianist-repertoire-150-GrandeValseBrillanteOp18-v0,yes,16.9,4,49,0.4,8.09,380,,
waltzop64no1,WaltzOp64No1,RoboPianist-repertoire-150-WaltzOp64No1-v0,yes,16.74,61,29,5.04,7.37,393,yes,
lyricpiecesop62no4,LyricPiecesOp62No4,RoboPianist-repertoire-150-LyricPiecesOp62No4-v0,yes,16.51,6,55,0.47000000000000003,14.48,608,,
pianosonatad8453rdmov,PianoSonataD8453RdMov,RoboPianist-repertoire-150-PianoSonataD8453RdMov-v0,yes,16.21,46,41,3.26,12.96,253,,
pianosonatano241stmov,PianoSonataNo241StMov,RoboPianist-repertoire-150-PianoSonataNo241StMov-v0,yes,15.12,25,42,2.98,9.81,206,,
pianosonatano81stmov,PianoSonataNo81StMov,RoboPianist-repertoire-150-PianoSonataNo81StMov-v0,yes,14.82,77,12,4.05,11.12,2059,,
lachasseop19no3,LaChasseOp19No3,RoboPianist-repertoire-150-LaChasseOp19No3-v0,yes,14.64,3,64,0.0,14.0,588,,
pianosonatad8451stmov,PianoSonataD8451StMov,RoboPianist-repertoire-150-PianoSonataD8451StMov-v0,yes,14.49,3,65,0.0,9.13,452,yes,
scottjoplinsnewrag,ScottJoplinsNewRag,RoboPianist-repertoire-150-ScottJoplinsNewRag-v0,yes,14.48,42,77,4.27,13.43,319,,
nocturneop9no2,NocturneOp9No2,RoboPianist-repertoire-150-NocturneOp9No2-v0,yes,14.39,50,42,6.02,11.28,430,,
pianosonatano143rdmov,PianoSonataNo143RdMov,RoboPianist-repertoire-150-PianoSonataNo143RdMov-v0,yes,14.35,3,55,0.0,14.17,572,,
intermezzoop118no2,IntermezzoOp118No2,RoboPianist-repertoire-150-IntermezzoOp118No2-v0,yes,14.01,46,25,4.22,8.66,223,,
lacampanella,LaCampanella,RoboPianist-repertoire-150-LaCampanella-v0,yes,13.94,23,37,3.2800000000000002,10.44,409,,
preludeop23no9,PreludeOp23No9,RoboPianist-repertoire-150-PreludeOp23No9-v0,yes,13.84,44,36,6.1,20.68,453,,
hungarianrhapsodyno2,HungarianRhapsodyNo2,RoboPianist-repertoire-150-HungarianRhapsodyNo2-v0,yes,13.75,49,18,6.06,5.93,231,,
kreislerianaop16no1,KreislerianaOp16No1,RoboPianist-repertoire-150-KreislerianaOp16No1-v0,yes,13.64,4,64,3.98,17.39,284,,
minuetingmajorwoo102,MinuetInGMajorWoo102,RoboPianist-repertoire-150-MinuetInGMajorWoo102-v0,yes,13.52,4,60,0.43,5.82,171,,
theentertainer,TheEntertainer,RoboPianist-repertoire-150-TheEntertainer-v0,yes,13.31,2,65,0.0,11.79,345,,
kreislerianaop16no8,KreislerianaOp16No8,RoboPianist-repertoire-150-KreislerianaOp16No8-v0,yes,13.03,48,43,1.9300000000000002,9.91,289,yes,
pianosonatano21stmov,PianoSonataNo21StMov,RoboPianist-repertoire-150-PianoSonataNo21StMov-v0,yes,12.9,4,36,0.0,7.04,125,yes,
suitebergamasquepasspied,SuiteBergamasquePasspied,RoboPianist-repertoire-150-SuiteBergamasquePasspied-v0,yes,12.79,3,49,0.24,8.35,214,,
pianosonatak332infmajor3rdmov,PianoSonataK332InFMajor3RdMov,RoboPianist-repertoire-150-PianoSonataK332InFMajor3RdMov-v0,yes,12.67,3,64,0.0,9.58,393,,
pianosonatano83rdmov,PianoSonataNo83RdMov,RoboPianist-repertoire-150-PianoSonataNo83RdMov-v0,yes,12.59,2,55,0.0,4.11,232,,
waltzop69no2,WaltzOp69No2,RoboPianist-repertoire-150-WaltzOp69No2-v0,yes,12.58,3,64,0.49,7.26,341,,
preludebook1no2,PreludeBook1No2,RoboPianist-repertoire-150-PreludeBook1No2-v0,yes,11.87,41,5,6.29,10.35,212,,
fantasiek475,FantasieK475,RoboPianist-repertoire-150-FantasieK475-v0,yes,11.84,2,65,0.0,16.82,368,,
pianosonatano211stmov,PianoSonataNo211StMov,RoboPianist-repertoire-150-PianoSonataNo211StMov-v0,,33.58,19,1,0.59,13.76,492,,
pianosonatano41stmov,PianoSonataNo41StMov,RoboPianist-repertoire-150-PianoSonataNo41StMov-v0,,29.33,53,1,2.81,10.5,317,,
arabesqueno2,ArabesqueNo2,RoboPianist-repertoire-150-ArabesqueNo2-v0,,24.17,65,1,5.87,8.77,323,,
preludeop28no19,PreludeOp28No19,RoboPianist-repertoire-150-PreludeOp28No19-v0,,21.93,77,1,0.13,14.27,573,,
pavanepouruneinfantedefunte,PavanePourUneInfanteDefunte,RoboPianist-repertoire-150-PavanePourUneInfanteDefunte-v0,,9.99,34,47,4.14,4.03,187,,
lyricpiecesop43no1,LyricPiecesOp43No1,RoboPianist-repertoire-150-LyricPiecesOp43No1-v0,,9.92,5,55,0.0,10.26,327,,
impromptuop90no3,ImpromptuOp90No3,RoboPianist-repertoire-150-ImpromptuOp90No3-v0,,9.15,37,27,6.35,7.26,231,,
rhapsodieop79no2,RhapsodieOp79No2,RoboPianist-repertoire-150-RhapsodieOp79No2-v0,,9.06,3,49,0.0,13.12,293,,
lyricpiecesop54no3,LyricPiecesOp54No3,RoboPianist-repertoire-150-LyricPiecesOp54No3-v0,,8.5,33,47,4.94,11.65,335,,
balladeno1,BalladeNo1,RoboPianist-repertoire-150-BalladeNo1-v0,,8.25,31,26,4.73,6.43,247,,
waltzop69no1,WaltzOp69No1,RoboPianist-repertoire-150-WaltzOp69No1-v0,,8.0,3,65,0.34,7.59,155,,
etudeop25no11,EtudeOp25No11,RoboPianist-repertoire-150-EtudeOp25No11-v0,,7.61,35,49,6.48,16.8,261,,
liebestraumno3,LiebestraumNo3,RoboPianist-repertoire-150-LiebestraumNo3-v0,,7.55,4,64,0.19,7.79,257,,
mapleleafrag,MapleLeafRag,RoboPianist-repertoire-150-MapleLeafRag-v0,,7.5,4,64,0.0,13.97,275,,
impromptuno3,ImpromptuNo3,RoboPianist-repertoire-150-ImpromptuNo3-v0,,6.96,33,37,2.43,10.27,276,,
lafilleauxcheveuxdelin,LaFilleAuxCheveuxDeLin,RoboPianist-repertoire-150-LaFilleAuxCheveuxDeLin-v0,,6.91,19,23,6.8,4.37,114,,
lyricpiecesop62no2,LyricPiecesOp62No2,RoboPianist-repertoire-150-LyricPiecesOp62No2-v0,,6.87,22,57,2.54,5.17,134,,
suiteespanolaop45no1,SuiteEspanolaOp45No1,RoboPianist-repertoire-150-SuiteEspanolaOp45No1-v0,,6.64,15,71,6.03,6.46,126,,
polonaiseop53,PolonaiseOp53,RoboPianist-repertoire-150-PolonaiseOp53-v0,,6.09,4,49,0.05,10.72,349,,
pianosonatano281stmov,PianoSonataNo281StMov,RoboPianist-repertoire-150-PianoSonataNo281StMov-v0,,5.95,12,60,0.0,9.49,140,,
pianosonatak310inaminor1stmov,PianoSonataK310InAMinor1StMov,RoboPianist-repertoire-150-PianoSonataK310InAMinor1StMov-v0,,5.67,20,52,4.95,13.81,440,,
balladeno2,BalladeNo2,RoboPianist-repertoire-150-BalladeNo2-v0,,5.61,11,56,4.59,7.99,312,,
venetianischesgondelliedop30no6,VenetianischesGondelliedOp30No6,RoboPianist-repertoire-150-VenetianischesGondelliedOp30No6-v0,,5.08,10,51,4.38,6.42,225,,
pianosonatano43rdmov,PianoSonataNo43RdMov,RoboPianist-repertoire-150-PianoSonataNo43RdMov-v0,,5.01,17,51,3.7800000000000002,5.2,172,,
pianosonatak331inamajor3rdmov,PianoSonataK331InAMajor3RdMov,RoboPianist-repertoire-150-PianoSonataK331InAMajor3RdMov-v0,,4.92,11,56,3.55,11.38,269,,
musicalmomentop16no4,MusicalMomentOp16No4,RoboPianist-repertoire-150-MusicalMomentOp16No4-v0,,4.91,7,101,1.63,14.01,290,,
pianosonatano301stmov,PianoSonataNo301StMov,RoboPianist-repertoire-150-PianoSonataNo301StMov-v0,,4.91,14,51,5.09,11.28,321,,
pianosonatak332infmajor1stmov,PianoSonataK332InFMajor1StMov,RoboPianist-repertoire-150-PianoSonataK332InFMajor1StMov-v0,,4.84,12,56,3.94,5.71,181,,
pianosonatak283ingmajor1stmov,PianoSonataK283InGMajor1StMov,RoboPianist-repertoire-150-PianoSonataK283InGMajor1StMov-v0,,4.82,19,51,4.89,8.3,272,,
picturesatanexhibitiongreatkiev,PicturesAtAnExhibitionGreatKiev,RoboPianist-repertoire-150-PicturesAtAnExhibitionGreatKiev-v0,,4.77,5,94,2.71,8.45,302,,
pianosonatak330incmajor2ndmov,PianoSonataK330InCMajor2NdMov,RoboPianist-repertoire-150-PianoSonataK330InCMajor2NdMov-v0,,4.76,18,55,4.67,4.57,289,,
pianosonatano282ndmov,PianoSonataNo282NdMov,RoboPianist-repertoire-150-PianoSonataNo282NdMov-v0,,4.51,18,52,2.91,10.03,217,,
carnivalop37ano2,CarnivalOp37ANo2,RoboPianist-repertoire-150-CarnivalOp37ANo2-v0,,4.42,2,64,0.22,12.75,325,,
clairdelune,ClairDeLune,RoboPianist-repertoire-150-ClairDeLune-v0,,4.31,7,32,4.28,2.73,79,yes,yes
pianosonatak576indmajor2ndmov,PianoSonataK576InDMajor2NdMov,RoboPianist-repertoire-150-PianoSonataK576InDMajor2NdMov-v0,,4.29,14,56,4.8,5.33,253,,
pianosonatano141stmov,PianoSonataNo141StMov,RoboPianist-repertoire-150-PianoSonataNo141StMov-v0,,4.13,2,36,0.0,3.7,239,,
pianosonatak570inbbmajor1stmov,PianoSonataK570InBbMajor1StMov,RoboPianist-repertoire-150-PianoSonataK570InBbMajor1StMov-v0,,3.62,9,56,3.24,4.69,150,,
pianosonatano31stmov,PianoSonataNo31StMov,RoboPianist-repertoire-150-PianoSonataNo31StMov-v0,,3.62,15,113,2.06,12.51,348,,
jeteveux,JeTeVeux,RoboPianist-repertoire-150-JeTeVeux-v0,,3.61,2,36,0.0,4.01,262,,
pianosonatak284indmajor1stmov,PianoSonataK284InDMajor1StMov,RoboPianist-repertoire-150-PianoSonataK284InDMajor1StMov-v0,,3.54,15,82,1.7000000000000002,10.61,435,,
italianconverto1stmov,ItalianConverto1StMov,RoboPianist-repertoire-150-ItalianConverto1StMov-v0,,3.5300000000000002,13,56,1.53,11.39,331,,
pianosonatak279incmajor1stmov,PianoSonataK279InCMajor1StMov,RoboPianist-repertoire-150-PianoSonataK279InCMajor1StMov-v0,,3.4,15,51,2.69,9.76,276,yes,
frenchsuiteno3minuet,FrenchSuiteNo3Minuet,RoboPianist-repertoire-150-FrenchSuiteNo3Minuet-v0,,3.15,8,52,0.07,9.35,145,yes,yes
englishsuiteno3prelude,EnglishSuiteNo3Prelude,RoboPianist-repertoire-150-EnglishSuiteNo3Prelude-v0,,3.03,12,56,1.55,11.84,393,,
arabesqueno1,ArabesqueNo1,RoboPianist-repertoire-150-ArabesqueNo1-v0,,2.8,8,52,0.65,6.87,218,,
frohlicherlandmannop68no10,FrohlicherLandmannOp68No10,RoboPianist-repertoire-150-FrohlicherLandmannOp68No10-v0,,2.79,2,88,0.0,8.79,244,,
pianosonatak545incmajor1stmov,PianoSonataK545InCMajor1StMov,RoboPianist-repertoire-150-PianoSonataK545InCMajor1StMov-v0,,2.58,13,56,1.12,8.39,193,,
pianosonatak330incmajor1stmov,PianoSonataK330InCMajor1StMov,RoboPianist-repertoire-150-PianoSonataK330InCMajor1StMov-v0,,2.54,9,56,0.8,9.33,286,,
forelise,ForElise,RoboPianist-repertoire-150-ForElise-v0,,2.4,7,42,1.44,10.61,208,yes,yes
pianosonatano82ndmov,PianoSonataNo82NdMov,RoboPianist-repertoire-150-PianoSonataNo82NdMov-v0,,2.39,8,42,1.22,5.02,265,,
frenchsuiteno5gavotte,FrenchSuiteNo5Gavotte,RoboPianist-repertoire-150-FrenchSuiteNo5Gavotte-v0,,2.3,12,57,0.29,6.95,327,yes,
bagatelleop3no4,BagatelleOp3No4,RoboPianist-repertoire-150-BagatelleOp3No4-v0,,2.12,4,60,0.27,9.41,254,yes,
pianosonatak280infmajor2ndmov,PianoSonataK280InFMajor2NdMov,RoboPianist-repertoire-150-PianoSonataK280InFMajor2NdMov-v0,,2.12,3,59,0.65,10.0,152,,
polonaisefantasieop61,PolonaiseFantasieOp61,RoboPianist-repertoire-150-PolonaiseFantasieOp61-v0,,2.08,2,49,0.30000000000000004,9.32,309,,
songwithoutwordsop19no1,SongWithoutWordsOp19No1,RoboPianist-repertoire-150-SongWithoutWordsOp19No1-v0,,2.08,8,59,0.56,11.19,324,,
partitano26,PartitaNo26,RoboPianist-repertoire-150-PartitaNo26-v0,,1.9300000000000002,6,64,0.07,12.05,253,yes,
sonatine1stmov,Sonatine1StMov,RoboPianist-repertoire-150-Sonatine1StMov-v0,,1.9,2,64,0.34,12.09,281,,
frenchsuiteno5sarabande,FrenchSuiteNo5Sarabande,RoboPianist-repertoire-150-FrenchSuiteNo5Sarabande-v0,,1.82,7,62,0.71,3.63,171,yes,
impromptuop90no4,ImpromptuOp90No4,RoboPianist-repertoire-150-ImpromptuOp90No4-v0,,1.82,2,60,0.8300000000000001,9.05,267,,
welltemperedclavierbookipreludeno7inebmajor,WellTemperedClavierBookIPreludeNo7InEbMajor,RoboPianist-repertoire-150-WellTemperedClavierBookIPreludeNo7InEbMajor-v0,,1.79,4,64,0.18,5.79,174,,
goldbergvariationsvariation13,GoldbergVariationsVariation13,RoboPianist-repertoire-150-GoldbergVariationsVariation13-v0,,1.78,9,59,0.34,6.57,387,,
partitano42,PartitaNo42,RoboPianist-repertoire-150-PartitaNo42-v0,,1.71,9,61,0.21,10.25,208,,
welltemperedclavierbookipreludeno23inbmajor,WellTemperedClavierBookIPreludeNo23InBMajor,RoboPianist-repertoire-150-WellTemperedClavierBookIPreludeNo23InBMajor-v0,,1.7000000000000002,13,56,0.29,9.2,417,,
englishsuiteno2prelude,EnglishSuiteNo2Prelude,RoboPianist-repertoire-150-EnglishSuiteNo2Prelude-v0,,1.67,7,63,0.03,12.02,322,,
frenchsuiteno1allemande,FrenchSuiteNo1Allemande,RoboPianist-repertoire-150-FrenchSuiteNo1Allemande-v0,,1.63,6,59,0.07,12.11,281,yes,
welltemperedclavierbookiifugueno2incminor,WellTemperedClavierBookIiFugueNo2InCMinor,RoboPianist-repertoire-150-WellTemperedClavierBookIiFugueNo2InCMinor-v0,,1.62,9,59,0.02,5.47,282,,
sinfoniano12,SinfoniaNo12,RoboPianist-repertoire-150-SinfoniaNo12-v0,,1.58,4,64,0.02,9.88,334,,
welltemperedclavierbookiipreludeno11infmajor,WellTemperedClavierBookIiPreludeNo11InFMajor,RoboPianist-repertoire-150-WellTemperedClavierBookIiPreludeNo11InFMajor-v0,,1.54,9,61,0.33,8.53,251,,
welltemperedclavierbookiifugueno19inamajor,WellTemperedClavierBookIiFugueNo19InAMajor,RoboPianist-repertoire-150-WellTemperedClavierBookIiFugueNo19InAMajor-v0,,1.5,4,64,0.0,12.15,313,,
welltemperedclavierbookipreludeno2incminor,WellTemperedClavierBookIPreludeNo2InCMinor,RoboPianist-repertoire-150-WellTemperedClavierBookIPreludeNo2InCMinor-v0,,1.3599999999999999,4,64,0.0,17.65,576,,
twopartinventionincminor,TwoPartInventionInCMinor,RoboPianist-repertoire-150-TwoPartInventionInCMinor-v0,,1.35,6,62,0.01,13.3,689,,
twopartinventionindmajor,TwoPartInventionInDMajor,RoboPianist-repertoire-150-TwoPartInventionInDMajor-v0,,1.12,3,63,0.03,6.98,525,,
partitano6corrente,PartitaNo6Corrente,RoboPianist-repertoire-150-PartitaNo6Corrente-v0,,1.05,2,64,0.0,6.76,348,,
sicilienne,Sicilienne,RoboPianist-repertoire-150-Sicilienne-v0,,1.05,2,64,0.13,9.79,230,,
twopartinventionincmajor,TwoPartInventionInCMajor,RoboPianist-repertoire-150-TwoPartInventionInCMajor-v0,,0.8,5,54,0.0,8.96,469,,
twopartinventioninfmajor,TwoPartInventionInFMajor,RoboPianist-repertoire-150-TwoPartInventionInFMajor-v0,,0.54,5,56,0.04,9.68,596,,
berceuse,Berceuse,RoboPianist-repertoire-150-Berceuse-v0,,0.0,1,49,0.0,5.08,212,,
etudeop10no3,EtudeOp10No3,RoboPianist-repertoire-150-EtudeOp10No3-v0,,0.0,1,64,0.0,6.84,455,,
kinderszenenop15no1,KinderszenenOp15No1,RoboPianist-repertoire-150-KinderszenenOp15No1-v0,,0.0,1,49,0.0,10.17,222,,
lyricpiecesop12no1,LyricPiecesOp12No1,RoboPianist-repertoire-150-LyricPiecesOp12No1-v0,,0.0,1,65,0.0,11.74,138,,
lyricpiecesop38no1,LyricPiecesOp38No1,RoboPianist-repertoire-150-LyricPiecesOp38No1-v0,,0.0,1,65,0.0,10.97,170,,
pianosonatak281inbbmajor1stmov,PianoSonataK281InBbMajor1StMov,RoboPianist-repertoire-150-PianoSonataK281InBbMajor1StMov-v0,,0.0,1,64,0.0,9.25,245,,
pianosonatak282inebmajorminuet1,PianoSonataK282InEbMajorMinuet1,RoboPianist-repertoire-150-PianoSonataK282InEbMajorMinuet1-v0,,0.0,1,64,0.0,5.73,272,,
pianosonatak284indmajor3rdmov,PianoSonataK284InDMajor3RdMov,RoboPianist-repertoire-150-PianoSonataK284InDMajor3RdMov-v0,,0.0,1,64,0.0,6.45,216,,
pianosonatak457incminor3rdmov,PianoSonataK457InCMinor3RdMov,RoboPianist-repertoire-150-PianoSonataK457InCMinor3RdMov-v0,,0.0,1,65,0.0,5.97,190,,
pianosonatak570inbbmajor2ndmov,PianoSonataK570InBbMajor2NdMov,RoboPianist-repertoire-150-PianoSonataK570InBbMajor2NdMov-v0,,0.0,1,64,0.0,4.53,213,,
pianosonatak576indminor1stmov,PianoSonataK576InDMinor1StMov,RoboPianist-repertoire-150-PianoSonataK576InDMinor1StMov-v0,,0.0,1,64,0.0,10.07,282,,
pianosonatano142ndmov,PianoSonataNo142NdMov,RoboPianist-repertoire-150-PianoSonataNo142NdMov-v0,,0.0,1,64,0.0,7.92,268,,
pianosonatano213rdmov,PianoSonataNo213RdMov,RoboPianist-repertoire-150-PianoSonataNo213RdMov-v0,,0.0,1,80,0.0,17.43,414,,
pianosonatano232ndmov,PianoSonataNo232NdMov,RoboPianist-repertoire-150-PianoSonataNo232NdMov-v0,,0.0,1,65,0.0,12.9,200,yes,
pianosonatano32ndmov,PianoSonataNo32NdMov,RoboPianist-repertoire-150-PianoSonataNo32NdMov-v0,,0.0,1,64,0.0,9.7,154,,
picturesatanexhibitionbydlo,PicturesAtAnExhibitionBydlo,RoboPianist-repertoire-150-PicturesAtAnExhibitionBydlo-v0,,0.0,1,94,0.0,14.63,289,,
picturesatanexhibitionpromenade,PicturesAtAnExhibitionPromenade,RoboPianist-repertoire-150-PicturesAtAnExhibitionPromenade-v0,,0.0,1,88,0.0,7.67,253,,
polonaiseop40no1,PolonaiseOp40No1,RoboPianist-repertoire-150-PolonaiseOp40No1-v0,,0.0,1,88,0.0,21.25,591,,
preludeop28no7,PreludeOp28No7,RoboPianist-repertoire-150-PreludeOp28No7-v0,,0.0,1,55,0.0,5.36,168,yes,yes
scherzono2,ScherzoNo2,RoboPianist-repertoire-150-ScherzoNo2-v0,,0.0,1,64,0.0,5.32,189,,
sonatainamajork208,SonataInAMajorK208,RoboPianist-repertoire-150-SonataInAMajorK208-v0,,0.0,1,49,0.0,8.21,119,,
waltzop39no15,WaltzOp39No15,RoboPianist-repertoire-150-WaltzOp39No15-v0,,0.0,1,49,0.0,8.19,262,,
waltzop64no2,WaltzOp64No2,RoboPianist-repertoire-150-WaltzOp64No2-v0,,0.0,1,75,0.0,9.56,180,,
